date,region,product,total_sales,target_daily,sales_yesterday,avg_7d_sales,delta_vs_yesterday,delta_vs_target,day_name,is_weekend,quantity,transaction_count
2023-12-09,Bandung,Electronics,3225,674,900,789,258.3,378.2,Saturday,True,9,3
2023-12-10,Bandung,Electronics,1200,712,3225,1206,-62.8,68.5,Sunday,True,4,1
2023-12-13,Bandung,Electronics,50,721,1200,1355,-95.8,-93.1,Wednesday,False,2,1
2023-12-16,Bandung,Electronics,100,713,50,1354,100.0,-86.0,Saturday,True,2,1
2023-12-20,Bandung,Electronics,50,705,100,1154,-50.0,-92.9,Wednesday,False,2,1
2023-12-27,Bandung,Electronics,600,698,50,1075,1100.0,-14.0,Wednesday,False,2,1
2023-12-28,Bandung,Electronics,50,698,600,875,-91.7,-92.8,Thursday,False,2,1
2023-12-31,Bandung,Electronics,50,690,50,754,0.0,-92.8,Sunday,True,2,1
2023-12-04,Jakarta,Beauty,150,564,50,441,200.0,-73.4,Monday,False,3,1
2023-12-05,Jakarta,Beauty,125,560,150,441,-16.7,-77.7,Tuesday,False,5,2
2023-12-06,Jakarta,Beauty,90,555,125,455,-28.0,-83.8,Wednesday,False,3,1
2023-12-10,Jakarta,Beauty,60,549,90,254,-33.3,-89.1,Sunday,True,2,1
2023-12-12,Jakarta,Beauty,150,544,60,248,150.0,-72.4,Tuesday,False,3,1
2023-12-18,Jakarta,Beauty,50,539,150,261,-66.7,-90.7,Monday,False,2,1
2023-12-19,Jakarta,Beauty,90,534,50,96,80.0,-83.1,Tuesday,False,3,1
2023-12-22,Jakarta,Beauty,1000,529,90,102,1011.1,89.0,Friday,False,2,1
2023-12-23,Jakarta,Beauty,500,536,1000,224,-50.0,-6.7,Saturday,True,1,1
2023-12-26,Jakarta,Beauty,250,536,500,277,-50.0,-53.4,Tuesday,False,5,2
2023-12-27,Jakarta,Beauty,100,534,250,300,-60.0,-81.3,Wednesday,False,2,1
2024-01-01,Jakarta,Beauty,1500,529,100,306,1400.0,183.4,Monday,False,3,1
2023-12-04,Jakarta,Clothing,50,675,50,919,0.0,-92.6,Monday,False,1,1
2023-12-08,Jakarta,Clothing,300,668,50,798,500.0,-55.1,Friday,False,1,1
2023-12-09,Jakarta,Clothing,100,665,300,769,-66.7,-85.0,Saturday,True,2,1
2023-12-10,Jakarta,Clothing,100,659,100,469,0.0,-84.8,Sunday,True,2,1
2023-12-19,Jakarta,Clothing,600,654,100,309,500.0,-8.2,Tuesday,False,2,1
2023-12-20,Jakarta,Clothing,50,654,600,386,-91.7,-92.4,Wednesday,False,1,1
2023-12-26,Jakarta,Clothing,630,648,50,179,1160.0,-2.8,Tuesday,False,3,2
2023-12-04,Jakarta,Electronics,30,543,90,479,-66.7,-94.5,Monday,False,1,1
2023-12-06,Jakarta,Electronics,1000,537,30,269,3233.3,86.1,Wednesday,False,2,1
2023-12-09,Jakarta,Electronics,500,543,1000,240,-50.0,-8.0,Saturday,True,1,1
2023-12-11,Jakarta,Electronics,50,544,500,304,-90.0,-90.8,Monday,False,1,1
2023-12-13,Jakarta,Electronics,75,539,50,299,50.0,-86.1,Wednesday,False,3,1
2023-12-16,Jakarta,Electronics,30,535,75,305,-60.0,-94.4,Saturday,True,1,1
2023-12-17,Jakarta,Electronics,1200,530,30,254,3900.0,126.4,Sunday,True,4,1
2023-12-20,Jakarta,Electronics,200,538,1200,412,-83.3,-62.8,Wednesday,False,4,1
2023-12-23,Jakarta,Electronics,925,535,200,436,362.5,72.8,Saturday,True,4,2
2023-12-24,Jakarta,Electronics,50,540,925,426,-94.6,-90.7,Sunday,True,1,1
2023-12-25,Jakarta,Electronics,1200,536,50,361,2300.0,124.0,Monday,False,4,1
2023-12-28,Jakarta,Electronics,25,543,1200,526,-97.9,-95.4,Thursday,False,1,1
2023-12-14,Surabaya,Beauty,60,683,90,203,-33.3,-91.2,Thursday,False,2,1
2023-12-15,Surabaya,Beauty,2000,676,60,83,3233.3,195.8,Friday,False,4,1
2023-12-18,Surabaya,Beauty,1000,695,2000,361,-50.0,43.8,Monday,False,2,1
2023-12-23,Surabaya,Beauty,25,701,1000,500,-97.5,-96.4,Saturday,True,1,1
2023-12-29,Surabaya,Beauty,1800,693,25,489,7100.0,159.8,Friday,False,6,2
2023-12-07,Surabaya,Clothing,900,527,25,675,3500.0,70.8,Thursday,False,3,1
2023-12-08,Surabaya,Clothing,600,533,900,718,-33.3,12.6,Friday,False,2,1
2023-12-19,Surabaya,Clothing,100,535,600,518,-83.3,-81.3,Tuesday,False,2,1
2023-12-21,Surabaya,Clothing,300,530,100,404,200.0,-43.4,Thursday,False,1,1
2023-12-23,Surabaya,Clothing,100,528,300,318,-66.7,-81.1,Saturday,True,4,1
2023-12-05,Surabaya,Electronics,350,645,120,627,191.7,-45.7,Tuesday,False,7,2
2023-12-06,Surabaya,Electronics,300,642,350,656,-14.3,-53.3,Wednesday,False,1,1
2023-12-07,Surabaya,Electronics,500,639,300,484,66.7,-21.7,Thursday,False,1,1
2023-12-12,Surabaya,Electronics,50,638,500,420,-90.0,-92.2,Tuesday,False,1,1
2023-12-13,Surabaya,Electronics,600,631,50,420,1100.0,-5.0,Wednesday,False,2,1
2023-12-16,Surabaya,Electronics,1000,632,600,489,66.7,58.2,Saturday,True,2,1
2023-12-18,Surabaya,Electronics,1200,638,1000,417,20.0,88.2,Monday,False,4,2
2023-12-20,Surabaya,Electronics,150,646,1200,571,-87.5,-76.8,Wednesday,False,3,1
2023-12-23,Surabaya,Electronics,300,641,150,543,100.0,-53.2,Saturday,True,1,1
2023-12-29,Surabaya,Electronics,100,637,300,543,-66.7,-84.3,Friday,False,4,1
2024-01-01,Surabaya,Electronics,30,632,100,486,-70.0,-95.3,Monday,False,1,1
